منذ متى لا تزال هذه الأعراض مستمرة تقريبًا؟	about how long have these symptoms been going on?
هل لديك ارتفاع في ضغط الدم؟	do you have high blood pressure?
هل تشعر بأي ضيق تنفس مع ذلك؟	do you have some shortness of breath goes with that?
هل تعلم الأعراض التي كانت تشعر بها؟	do you know what symptoms she was having?
هل يعاني أقاربك من أعراض مماثلة	do your relatives have the same symptoms
هل ترى الصورة؟	do you see the image?
شرب الكثير من السوائل اليوم	drink plenty of fluids today
وجود سعال جاف برد وسيلان الأنف قيء إسهال	have a dry cough a cold and runny nose vomiting diarrhea
مع ذلك أُجري اختبارات مرض السكري	however i take tests for the diabetes
مع ذلك لديها أعراض مماثلة تمامًا لما لدي	however she has symptoms quite similar to mine
ما مدى ارتفاع الحمى لديك؟	how high is your fever?
ماذا عن ضغط الدم لديك؟	how' s your blood pressure?
لا أعتقد أني أعاني من ارتفاع ضغط الدم	i don't think i have high blood pressure
أشعر بألم في الصدر هنا في الجزء الأمامي من الصدر	i feel a pain in the chest here in the front part of the chest
إذا استمر ارتفاع الحمى لديك	if you continue to have high fevers
إذا بلغت الحمى لديك مائة واثنين أو أعلى	if you have a fever of a hundred and two or higher
إذا كنت تعتقد أن أعراضك أو مشكلاتك تحتاج إلى فحص أفضل	if you think that your symptoms or problems warrant a better look
أصابتني الحمى أمس	i got a fever yesterday
أصابتني حمى خفيفة أيضًا	i got a slight fever too
عانيت من الحمى أمس	i had a fever yesterday
عانيت من ألم حاد قصير في صدري	i had a short sharp pain in my chest
أعاني من ألم حاد هنا في الصدر	i have a sharp pain here in the chest
لكن أعاني حمى القش أيضًا	i have hay fever though too
أجريت ذلك على الجسم حول منطقة الصدر؟	i have made on the body around the chest area?
أعاني كذلك من بعض الصعوبة في التنفس	i have some difficulty breathing too
سأرسل إليك صورة	i'll send you an image
أعاني من بعض الآلام في الصدر اليوم	i'm having some chest pain today
لا أعاني إلا من بعض الصداع والحمى اليوم	i'm just having some headaches and some fever today
في رأيي إنها إنفلونزا	in my opinion it is flu
في رأيي إنها إنفلونزا بسيطة	in my opinion this is a little flu
أجد أنه ينتقل من وسط الصدر ويصل إلى رقبتك	i see it going from the center of your chest going up to your neck
هل يبدو الأمر كما لو أن شخصًا ثقيلًا يجلس على صدرك؟	is it like some heavy heavy person sitting on your chest?
بدأ كل هذا بالصداع والحمى في الوقت نفسه تقريبًا	it all started with the headaches and with the fever about the same time
يوجد ألم في الصدر	it hurts in the chest
يوجد ألم في وسط صدري	it hurts in the middle of my chest
إنه ضغط يشبه ألم الصدر	it is a pressure like chest pain
إنه في صدري	it is in my chest
إنه في وسط صدري	it is in the center of my chest
إنه في وسط الصدر	it is in the center of the chest
أشعر به في وسط صدري تمامًا	it is occurring right in the middle of my chest
إنه في منتصف صدري بالضبط	it is right in the center of my chest
يبدو أنك مصاب بأحد أنواع البرد أو إنفلونزا فحسب	it sounds like you just may have the garden variety cold or a flu
شعرت بألم في صدري	i've got pain in my chest
يقلقني ألم الصدر هذا للغاية	i've very concerned of this chest pain
أريد منك أن تصف لي ألم الصدر هذا	i want you to tell me in describing this chest pain
سأرسل إليك صورة	i will send you an image
سأرسل إليك صورة على شاشتك	i will send you an image on your screen
مثل ارتفاع ضغط الدم أو مرض السكري	like high blood pressure or diabetes
كأنه في منتصف الصدر تمامًا	like right in the center of the chest
في معظم الوقت الأمر مثل هذا النوع من ألم الصدر	most of the time it is this type of chest pain
تعاني أختي من أعراض مماثلة	my sister has similar symptoms
يمكنك الآن تناول حلوى tachipirina للحمى	now for the fever you can take a tachipirina sweet
أرسل إليك الآن صورة	now i send you an image
الآن ماري ما عدد الأيام التي عانيتِ فيها هذه الأعراض	now mary how many days have you had the symptoms
قلت الآن إن لديك ألمًا بالصدر	now you said you have a chest pain
أعاني من ألم بالصدر بين حين وآخر	occasionally i have some chest pain
حسنًا هل لديك أي أعراض أخرى بالإضافة إلى هذا غير الألم	okay are you having any other symptoms along with this other than just the pain
أو إذا كان لديك ارتفاع في ضغط الدم	or if you have high blood pressure
أو هل تشعر أن شخصًا يجلس على صدرك؟	or somebody sitting on your chest?
يشبه إلى حد كبير الحمى والصداع الناتج عن السعال وألم العضلات	pretty much the same with the fever and the cough headache and muscle pains
في وسط صدري تمامًا	right in the middle of my chest
حدِّد لي مكان الشعور بالألم على هذه الصورة	show me on this image where you feel the pain
منذ إصابتك بحمى	since you have a fever
إذًا هل تعتقدين أن بعض هذه الأعراض قد ترتبط بالحمل؟	so do you think that some of these symptoms could be related to being pregnant?
إذًا بدأ ألم الصدر هذا الصباح	so your chest pain started this morning
إذًا هل يعاني أطفالك من بعض الأعراض المماثلة؟	so your children are having some of the same symptoms?
أخبرني عن ألم الصدر لديك	tell me about your chest pain
تزيد الحمى ليلًا	the fever increases at night
الحمى التي أصابتني خلال اليومين الماضيين	the fever i've had for the last two days
بدأت زيادة الحمى الليلة الماضية	the fever started to increase last night
بدأت الحمى منذ يومين	the fever started two days ago
آلام العضلات مع حمى القش	the muscle pains with the hay fever
هذا هو الطبيب بورتر في غرفة الطوارئ في مركز فرز المصابين	this is doctor porter in the emergency room triage center
حسنًا هل يمكنك إخباري المزيد عن ألم الصدر لديك؟	well can you tell me a little bit more about your chest pain?
حسنًا في رأيي إنها إنفلونزا بسيطة	well from my point of view it is a little flu
حسنًا أشعر بألم في الجزء الأمامي من جسمي هنا في صدري	well i feel a pain in the front of my body here in my chest
حسنًا أعاني من ألم قوي في صدري	well i've been having a strong pain in my chest
حسنًا سيدتي بالاستماع إلى أعراضك يبدو أنك مصابة بأحد فيروسات الإنفلونزا	well madam from listening to your symptoms it sounds like you've got one of the flu viruses
حسنًا عندما شعرت بهذا الألم في صدري	well when i have that pain in my chest
ما نوع الألم الصدر الذي تعاني منه؟	what kinda pain do you have in your chest?
متى بدأ ألم الصدر هذا؟	when this chest pain started?
ما موقع الألم في صدرك؟	where do you have the pain in the chest?
أين تشعر بهذا الألم في الصدر تشعر بهذا الصدر	where you feel this chest pain eel this chest t
لديك على الأرجح ألم بالصدر	you are probably having chest pain
لديك شعور بضيق في صدرك	you feel like tightness on your chest
أنت تعلم أنني أعاني من مرض السكري وأمور أخرى	you know i got diabetes and stuff
قلت إنك تعاني من هذا الألم بالصدر	you said you're having this chest pain
العدد التراكمي المتزايد السريع لمرض فيروس كورونا (كوفيد-19) في الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة، من 1 يناير حتى 15 مارس 2020	Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020
يُظهر العدد التراكمي لمرض فيروس كورونا (كوفيد-19) اتجاهات مماثلة في بلدان الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة، وهو ما يؤكد أنه بالرغم من اختلاف المرحلة استنادًا إلى الدولة، فإن جائحة كوفيد-19 تتفاقم سريعًا في كل الدول.	The cumulative incidence of coronavirus disease (COVID-19) cases is showing similar trends in European Union/European Economic Area countries and the United Kingdom confirming that, while at a different stage depending on the country, the COVID-19 pandemic is progressing rapidly in all countries.
بناءً على تجربة إيطاليا، ينبغي للدول والمستشفيات ووحدات العناية المركزة أن تزيد من استعدادها لزيادة عدد مرضى كوفيد-19 الذين سيحتاجون إلى الرعاية الصحية، ولا سيما العناية المركزة.	Based on the experience from Italy, countries, hospitals and intensive care units should increase their preparedness for a surge of patients with COVID-19 who will require healthcare, and in particular intensive care.
في 31 ديسمبر 2019، تم الإبلاغ عن مجموعة من حالات الالتهاب الرئوي لمسببات مرضية غير معروفة في مدينة ووهان، بمقاطعة هوبي، في الصين.	On 31 December 2019, a cluster of pneumonia cases of unknown aetiology was reported in Wuhan, Hubei Province, China.
في 9 يناير 2020، ذكر المركز الصيني لمكافحة الأمراض والوقاية منها أن العامل المسبب وهو فيروس كورونا المستجد يشار إليه الآن باسم فيروس كورونا 2 المرتبط بالمتلازمة التنفسية الحادة الشديدة (سارس-كوف-2).	On 9 January 2020, the China Center for Disease Control and Prevention reported the causative agent as being a novel coronavirus now referred to as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).
منذ ذلك الحين، تمت تسمية المرض الناجم عن عدوى سارس-كوف-2 مرض فيروس كورونا (كوفيد-19).	Since, the illness resulting from SARS-CoV-2 infection has been named coronavirus disease (COVID-19).
الدليل حتى الآن هو أن 80% تقريبًا من الأفراد المصابين بكوفيد-19 يعانون مرضًا خفيفًا؛ أيْ يعانون عدوى الجهاز التنفسي مع أعراض أو دونها، ويتعافى معظم هؤلاء.	Evidence to date is that ca 80% of individuals with COVID-19 have a mild disease, i.e. a respiratory tract infection with or without pneumonia, and most of these recover.
في 14% تقريبًا، تفاقمت الإصابة بكوفيد-19 إلى مرض أشد حِدة يتطلب الإقامة في المستشفى في حين تعاني الحالات المتبقية البالغة 6% مرضًا خطيرًا يتطلب العناية المركزة.	In ca 14% cases, COVID-19 develops into a more severe disease requiring hospitalisation while the remaining 6% cases experience critical illness requiring intensive care.
بلغ معدل الوفيات من المرضى الذين أقاموا في المستشفى بسبب كوفيد-19 حوالي 4%.	The mortality of patients hospitalised due to COVID-19 is ca 4%.
في هذه الدراسة، نقيّم اتجاهات العدد التراكمي لكوفيد-19 في كل دولة في الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية (إي يو/إي إي أيه) والمملكة المتحدة (يو كيه) ونقارنها مع تلك من مقاطعة هوبي، بالصين.	In this study, we assess the trends in the cumulative incidence of COVID-19 in each European Union/European Economic Area (EU/EEA) country and the United Kingdom (UK) and compare them to that of Hubei Province, China.
نقارن أيضًا العدد الحالي لحالات كوفيد-19 في دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة مع العدد في إيطاليا بين 31 يناير و15 مارس 2020.	We also compare the current number of COVID-19 cases in EU/EEA countries and the UK with that in Italy during 31 January–15 March 2020.
حالات كوفيد-19 في دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة	COVID-19 cases in EU/EEA countries and the UK
بعد ما حدث في الصين، انتشر كوفيد-19 بشكل متزايد جغرافيًّا وتتبع ديناميكية جائحة كوفيد-19 في بقية دول العالم حاليًّا ديناميكية هذه الدولة.	Subsequent to China, COVID-19 underwent further geographical spread and the dynamic of the COVID-19 pandemic in the rest of the world currently follows that of this country.
في 11 مارس 2020، أعلن المدير العام لمنظمة الصحة العالمية (منظمة الصحة العالمية) كوفيد-19 كجائحة.	On 11 March 2020, the Director General of the World Health Organization (WHO) declared COVID-19 a pandemic.
في عدد يوروسورفيلينس الصادر في 5 مارس 2020، أبلغ سبيتيري وآخرون عن أول حالات كوفيد-19 أوروبية مؤكدة وفقًا لتعريف منظمة الصحة العالمية للحالة.	In the 5 March issue of Eurosurveillance 2020, Spiteri et al. reported on the first European confirmed COVID-19 cases according to the WHO case definition.
في الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية، تم الإبلاغ عن أول ثلاث حالات مؤكدة من قبل فرنسا في 24 يناير 2020 لأشخاص عائدين من ووهان، بمقاطعة هوبي، في الصين.	In the EU/EEA, the first three confirmed cases were reported by France on 24 January 2020 in persons returning from Wuhan, Hubei Province, China.
اعتبارًا من 15 مارس 2020، تم اكتشاف حالات كوفيد-19 في كل بلدان الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية الـ 30 والمملكة المتحدة (يو كيه)، حيث إنه بين 31 ديسمبر 2019 حتى هذا التاريخ المذكور، تم الإبلاغ عن 39,768 حالة و1,727 وفاة، مع 17,750 حالة و1,441 وفاة في إيطاليا وحدها.	As at 15 March 2020, COVID-19 cases had been detected in all 30 EU/EEA countries and the United Kingdom (UK), whereby between 31 December 2019 and that date included, 39,768 cases and 1,727 deaths had been reported, with 17,750 cases and 1,441 deaths from Italy alone.
الحصول على العدد التراكمي والمعدل التراكمي لحالات كوفيد-19	Obtaining cumulative number and cumulative incidence of COVID-19 cases
في المركز الأوروبي لمكافحة الأمراض والوقاية منها (إي سي دي سي)، يجري تحديث أعداد حالات كوفيد-19 المبلَّغ عنها في كل دولة في جميع أنحاء العالم، التي يتم الحصول عليها من المصادر الرسمية فقط مثل وزارة الصحة في البلدان والهيئات الصحية الوطنية والإقليمية ومنظمة الصحة العالمية، يوميًّا الساعة 8:00 صباحًا.	At the European Centre for Disease Prevention and Control (ECDC), the notified COVID-19 case counts in each country worldwide, obtained from only official sources such as the countries’ Ministry of Health, national and regional health authorities and the WHO, are updated each day at 8:00 a.m.
تم استخدام هذه البيانات لتقييم اتجاهات كوفيد-19 في الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة ومقارنتها بتلك في إيطاليا.	These data were used for assessing the trends of COVID-19 in EU/EEA and the UK, and comparing them to that in Italy.
كمقياس لانتشار الحالات النشطة لكوفيد-19، قمنا بحساب العدد التراكمي لحالات كوفيد-19 المتقطعة خلال 14 يومًا، ومن ثم مراعاة المسار الطبيعي لكوفيد-19، في كل دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة، خلال الفترة بين 1 يناير و15 مارس 2020.	As a proxy of the prevalence of active COVID-19 cases, we calculated the 14-day truncated cumulative incidence of COVID-19 cases, thus taking into account the natural course of COVID-19, in each EU/EEA country and the UK, during the 1 January–15 March 2020 period.
قدمنا أيضًا العدد التراكمي للحالات المبلَّغ عنها من كل دولة اعتبارًا من 15 مارس 2020 الساعة 8:00 صباحًا، مع مقارنته بالعدد في إيطاليا خلال الفترة بين 31 يناير و15 مارس 2020.	We also presented the cumulative number of notified cases of each country as at 15 March 2020 8:00 a.m. compared with that of Italy for the 31 January–15 March 2020 period.
اتجاهات كوفيد-19 في دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة	Trends of COVID-19 in EU/EEA countries and the UK
اتبعت اتجاهات العدد التراكمي لحالات كوفيد-19 المقتطعة خلال فترة 14 يومًا في دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة تلك الخاصة بمقاطعة هوبي (الصين) (الشكل 1).	The trends in the 14-day truncated cumulative incidence of COVID-19 cases in EU/EEA countries and the UK generally followed that of Hubei Province (China) (Figure 1).
بالنسبة للاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة بوجه عام، بدأ العدد التراكمي لكوفيد-19 في التزايد في 21 فبراير تقريبًا، ثم ازداد بشكل حاد في 28 فبراير 2020 تقريبًا (مادة تكميلية).	For the EU/EEA and the UK overall, the cumulative incidence of COVID-19 started to increase around 21 February and then increased sharply around 28 February 2020 (Supplementary material).
كان هذا مدفوعًا غالبًا بالزيادة السريعة في عدد الحالات المبلَّغ عنها من إيطاليا، ولكن أظهرت كل دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة اتجاهات زيادة مماثلة للعدد التراكمي لكوفيد-19 (مادة تكميلية).	This was mostly driven by the rapid increase in the number of reported cases from Italy, but all other EU/EEA countries and the UK showed similar increasing trends of the cumulative incidence of COVID-19 (Supplementary material).
يوضح الشكل 2 العدد التراكمي لحالات كوفيد-19، في دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة مقارنةً بذلك في إيطاليا للفترة بين 31 يناير و15 مارس 2020.	Figure 2 shows the cumulative number of COVID-19 cases, in EU/EEA countries and the UK compared with that in Italy for the 31 January–15 March 2020 period.
يسلط الضوء على أنه اعتبارًا من 15 مارس الساعة 8:00 صباحًا، أبلغت 15 دولة أخرى من دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة عن العدد الإجمالي للحالات بالفعل المماثل لذلك الموجود في إيطاليا قبل 3 أسابيع فقط أو أقل.	It highlights that, as at 15 March 8:00 a.m., 15 other EU/EEA countries and the UK had already reported a total number of cases comparable to that of Italy just 3 weeks prior or less.
تشير نتائجنا إلى أن عدد حالات كوفيد-19 المبلَّغ عنها يزيد سريعًا في الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة.	Our results indicate that the number of notified cases of COVID-19 is rapidly increasing in the EU/EEA and the UK.
تشير الاتجاهات الملحوظة في العدد التراكمي لكوفيد-19 إلى أن الجائحة تتفاقم بسرعة مماثلة في جميع الدول.	The observed trends in the cumulative incidence of COVID-19 suggest that the pandemic is progressing at a comparable speed in all countries.
هذا بالرغم من أن الدول في مراحل مختلفة، وبالرغم من اختلاف استجابات الصحة العامة الوطنية، وإمكانية اختلافات تعريف الحالة في الدول والبروتوكولات المختلفة لاختيار المرضى الذين يجب خضوعهم للاختبار لتأكيد إصابتهم بكوفيد-19، بما في ذلك اختبار المتابعة.	This is despite countries being at different stages, variations in national public health responses, and possibly different case definitions in countries and different protocols for selecting patients that must be tested for confirmation of COVID-19, including catch-up testing.
في أوائل مارس 2020، وصف الأطباء في المناطق المتضررة في إيطاليا الوضع حيث احتاج نحو 10% تقريبًا من مرضى كوفيد-19 إلى العناية المركزة وذكرت مصادر إعلامية أن المستشفيات ووحدات العناية المركزة في تلك المناطق قد وصلت بالفعل إلى سعتها القصوى.	Early March 2020, doctors in the affected regions of Italy described a situation in which ca 10% of patients with COVID-19 required intensive care and media sources reported that hospitals and intensive care units in these regions had already reached their maximum capacity.
تتوفر حاليًّا البيانات حول دخول المستشفيات و/أو وحدات العناية المركزة لحالات كوفيد-19 على مستوى الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية لـ 6% و1% من الحالات على التوالي (البيانات غير معروضة).	Data on admission of COVID-19 cases in a hospital and/or an intensive care unit are currently available at EU/EEA level for only 6% and 1% cases, respectively (data not shown).
مع ذلك، يتعين جمعها بطريقة منهجية لاستكمال بيانات المراقبة الحالية التي تركز على عدد الحالات المبلَّغ عنها وعدد الوفيات.	They should, however, be collected in a systematic fashion to complement current surveillance data that focus on the number of reported cases and the number of deaths.
قد أظهرت دراسة أُجريت في 2010–11 تنوعًا كبيرًا في توفر أسرَّة العناية المركزة والعناية المتوسطة في أوروبا، إذ تراوحت بين 29.2 في ألمانيا و4.2 أسرَّة لكل 100,000 شخص في البرتغال.	A study performed in 2010–11 showed a large variation in the availability of intensive care and intermediate care beds in Europe, ranging from 29.2 in Germany to 4.2 beds per 100,000 population in Portugal.
يعني هذا أن الدول قد تكون لديها موارد أكثر أو أقل من إيطاليا (12.5 سريرًا للعناية المركزة والعناية المتوسطة لكل 100,000 شخص في 2010–11).	This means that countries may have more or less resources than Italy (12.5 intensive care and intermediate care beds per 100,000 population in 2010–11).
إن سيناريوهات النمذجة المرتبطة بالإشباع لسعة الرعاية الصحية، مع تقديرات لكل دولة من دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة لانتشار حالات كوفيد-19 التي دخلت المستشفى المرتبطة بخطر &amp; gt; 90% لتجاوز سعة أسرَّة العناية المركزة، تتوفر في التحديث السادس لتقييم الخطر السريع المتعلق بكوفيد-19 لدى المركز الأوروبي لمكافحة الأمراض والوقاية منها.	Modelling scenarios related to healthcare capacity saturation, with estimates for each EU/EEA country and the UK of the prevalence of hospitalised COVID-19 cases associated with a &amp; gt; 90% risk of exceeding intensive care bed capacity, are provided in the sixth update of the ECDC rapid risk assessment on COVID-19.
نظرًا لأن الحالات التي تم تجميعها حتى الآن في مناطق معينة في دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة، وقيام المستشفيات ووحدات العناية المركزة عادةً بخدمة مجموعات سكانية إقليمية محددة، يفضل توفير المعلومات حول الحالات وأسرَّة العناية المركزة على مستوى تسمية الوحدات الإقليمية للإحصاء 2 (إن يو تي إس-2).	Since cases have so far clustered in certain regions in EU/EEA countries and the UK, and hospitals and intensive care units usually serve a defined regional catchment population, information about cases and intensive care beds should preferably be made available at the Nomenclature of territorial units for statistics 2 (NUTS-2) level.
تُظهر تجربة إيطاليا والاتجاهات الحالية في الدول الأخرى أن جائحة كوفيد-19 تتفاقم بسرعة في الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية والمملكة المتحدة.	The experience from Italy and the current trends in other countries show that the COVID-19 pandemic is progressing rapidly in the EU/EEA and the UK.
لذلك ينبغي للدول والمستشفيات ووحدات العناية المركزة أن تُعد نفسها لسيناريو الانتقال المجتمعي المستدام لسارس-كوف-2 وزيادة أعداد مرضى كوفيد-19 ممن يحتاجون إلى الرعاية الصحية، لا سيما العناية المركزة، مثل هذا الذي يحدث في المناطق المتضررة في إيطاليا.	Countries, hospitals and intensive care units should thus prepare themselves for a scenario of sustained community transmission of SARS-CoV-2 and an increase in the number of patients with COVID-19 requiring healthcare, and in particular intensive care, such as the one occurring in the affected regions of Italy.
وفقًا لما هو مبين في تقييم الخطر السريع للمركز الأوروبي لمكافحة الأمراض والوقاية منها، يُعد النهج السريع الاستباقي الشامل أساسيًّا لتأخير انتشار سارس-كوف-2 مع التحول من نهج الاحتواء إلى التخفيف، حيث إن الزيادة السريعة المتوقعة في عدد الحالات قد لا توفر لصناع القرار والمستشفيات الوقت الكافي للفهم والقبول وتكييف استجابتهم وفقًا لذلك في حالة عدم تنفيذها مُسبقًا.	As pointed out in the recent ECDC rapid risk assessment, a rapid, proactive and comprehensive approach is essential to delay the spread of SARS-COV-2, with a shift from a containment to a mitigation approach, as the anticipated rapid increase in the number of cases may not provide decision makers and hospitals enough time to comprehend, accept and adapt their response accordingly if not implemented ahead of time.
يسرد تقييم المخاطر السريع أيضًا تدابير الصحة العامة للتخفيف من تأثير الجائحة.	The rapid risk assessment also lists the public health measures to mitigate the impact of the pandemic.
هناك فرصة محدودة يمكن خلالها للبلدان أن تزيد من جهودها الرقابية لإبطاء انتشار سارس-كوف-2 وتقليل الضغط على الرعاية الصحية.	There is a short window of opportunity during which countries have the possibility to further increase their control efforts to slow down the spread of SARS-CoV-2 and decrease the pressure on healthcare.
إذا فشل هذا، فمن المحتمل أن تواجه أنظمة الرعاية الصحية في دول الاتحاد الأوروبي/المنطقة الاقتصادية الأوروبية الأخرى زيادة في عدد المرضى الذين يحتاجون إلى عناية مركزة خلال الأيام أو الأسابيع القادمة.	Failing this, it is likely that the healthcare systems of other EU/EEA countries will face a surge of patients that require intensive care within the coming days or weeks.
أدى تفشي مرض فيروس كورونا 2019 (كوفيد-19)، الذي يسببه فيروس كورونا 2 (سارس-كوف-2) المسبب للمتلازمة التنفسية الحادة الشديدة (سارس)، إلى وفاة أكثر من 3,000 شخص وإصابة أكثر 80,000 شخص في الصين وأماكن أخرى من العالم، مما تسبب في كارثة إنسانية.	The outbreak of Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome (SARS) coronavirus 2 (SARS-CoV-2), has thus far killed over 3,000 people and infected over 80,000 in China and elsewhere in the world, resulting in catastrophe for humans.
يمكن لفيروس سارس-كوف-2، على غرار الفيروس المماثل له، سارس-كوف، الذي أدى إلى إصابة آلاف من الأشخاص بمرض سارس في عام 2003، الانتقال أيضًا من الخفافيش ويسبب أعراضًا مماثلة من خلال آلية مماثلة.	Similar to its homologous virus, SARS-CoV, which caused SARS in thousands of people in 2003, SARS-CoV-2 might also be transmitted from the bats and causes similar symptoms through a similar mechanism.
